year,constructorRef_mapped,avg_lap_speed,drivers
1996,alfa,2.9616130867665627,"Frentzen, Herbert"
1997,alfa,3.203475073233089,"Herbert, Morbidelli"
1998,alfa,3.09532721136843,"Alesi, Herbert"
1999,alfa,3.1817698873406717,"Alesi, Diniz"
2000,alfa,3.181503834261114,"Diniz, Salo"
2001,alfa,3.2879219932926786,"Heidfeld, Räikkönen"
2002,alfa,3.242093109577445,"Heidfeld, Massa"
2003,alfa,3.264991785900433,"Frentzen, Heidfeld"
2004,alfa,3.415059506774975,"Fisichella, Massa"
2005,alfa,3.336415824299738,"Massa, Villeneuve"
2006,alfa,3.271603886805552,"Heidfeld, Villeneuve"
2007,alfa,3.2634103006675774,"Heidfeld, Kubica"
2008,alfa,3.207650474109146,"Heidfeld, Kubica"
2009,alfa,3.2330334947586423,"Heidfeld, Kubica"
2010,alfa,3.170161504705587,"Kobayashi, de la Rosa"
2011,alfa,3.0734365522194724,"Kobayashi, Pérez"
2012,alfa,3.111430411943973,"Kobayashi, Pérez"
2013,alfa,3.1235119492841217,"Gutiérrez, Hülkenberg"
2014,alfa,3.1127411616220813,"Gutiérrez, Sutil"
2015,alfa,3.0892376742385332,"Ericsson, Nasr"
2016,alfa,3.0775847803645013,"Ericsson, Nasr"
2017,alfa,3.2084175512864372,"Ericsson, Wehrlein"
2018,alfa,3.243266832908782,"Ericsson, Leclerc"
2019,alfa,3.2656529810187345,"Giovinazzi, Räikkönen"
2020,alfa,3.378881207847727,"Giovinazzi, Räikkönen"
1996,alphatauri,3.0165527216758683,"Lamy, Fisichella"
1997,alphatauri,3.038795825071712,"Katayama, Marques"
1998,alphatauri,3.0418531257130614,"Nakano, Tuero"
1999,alphatauri,3.0938971151307593,"Gené, Badoer"
2000,alphatauri,3.168039758878002,"Gené, Mazzacane"
2001,alphatauri,3.1511338293328697,"Alonso, Marques"
2002,alphatauri,3.14279302239688,"Webber, Yoong"
2003,alphatauri,3.1905311132630128,"Verstappen, Wilson"
2004,alphatauri,3.220163388133306,"Baumgartner, Bruni"
2005,alphatauri,3.235284838765995,"Albers, Friesacher"
2006,alphatauri,3.2532729371289757,"Liuzzi, Speed"
2007,alphatauri,3.2434818128314737,"Liuzzi, Speed"
2008,alphatauri,3.20655288718096,"Bourdais, Vettel"
2009,alphatauri,3.168442609875517,"Buemi, Bourdais"
2010,alphatauri,3.1353382555803915,"Alguersuari, Buemi"
2011,alphatauri,3.050591981476001,"Alguersuari, Buemi"
2012,alphatauri,3.0983563825469664,"Ricciardo, Vergne"
2013,alphatauri,3.123908428047905,"Ricciardo, Vergne"
2014,alphatauri,3.1133316515837093,"Kvyat, Vergne"
2015,alphatauri,3.0793794804190844,"Sainz, Verstappen"
2016,alphatauri,3.0940888361226473,"Sainz, Kvyat"
2017,alphatauri,3.230891525744348,"Sainz, Kvyat"
2018,alphatauri,3.2103743053733003,"Gasly, Hartley"
2019,alphatauri,3.266764879773397,"Kvyat, Albon"
2020,alphatauri,3.390209121566748,"Gasly, Kvyat"
1996,ferrari,3.063188010657107,"Irvine, Schumacher"
1997,ferrari,3.1621140762586726,"Irvine, Schumacher"
1998,ferrari,3.158277951650402,"Irvine, Schumacher"
1999,ferrari,3.1652944632848685,"Irvine, Schumacher"
2000,ferrari,3.1840190327081683,"Barrichello, Schumacher"
2001,ferrari,3.3115901426618364,"Barrichello, Schumacher"
2002,ferrari,3.3281482554703294,"Barrichello, Schumacher"
2003,ferrari,3.3262749089754453,"Barrichello, Schumacher"
2004,ferrari,3.4354980909032404,"Barrichello, Schumacher"
2005,ferrari,3.362029508528891,"Barrichello, Schumacher"
2006,ferrari,3.3236516115631054,"Massa, Schumacher"
2007,ferrari,3.2705027849465282,"Massa, Räikkönen"
2008,ferrari,3.215887363578497,"Massa, Räikkönen"
2009,ferrari,3.239304427834385,"Räikkönen, Massa"
2010,ferrari,3.1652611705511036,"Alonso, Massa"
2011,ferrari,3.141586450645891,"Alonso, Massa"
2012,ferrari,3.110398024023888,"Alonso, Massa"
2013,ferrari,3.1795959768897175,"Alonso, Massa"
2014,ferrari,3.1009729541147686,"Alonso, Räikkönen"
2015,ferrari,3.139743542592858,"Räikkönen, Vettel"
2016,ferrari,3.169044070508765,"Räikkönen, Vettel"
2017,ferrari,3.3361238343928523,"Räikkönen, Vettel"
2018,ferrari,3.317520004490417,"Räikkönen, Vettel"
2019,ferrari,3.351973283686326,"Leclerc, Vettel"
2020,ferrari,3.3517850371749813,"Leclerc, Vettel"
