year,engine,engine_count
1996,ferrari,1.0
1996,mercedes,1.0
1996,renault,2.0
1997,ferrari,1.0
1997,mercedes,1.0
1997,renault,2.0
1998,ferrari,1.0
1998,mercedes,1.0
1998,renault,0.0
1999,ferrari,1.0
1999,mercedes,1.0
1999,renault,0.0
2000,ferrari,1.0
2000,mercedes,1.0
2000,renault,0.0
2001,ferrari,1.0
2001,mercedes,1.0
2001,renault,1.0
2002,ferrari,1.0
2002,mercedes,1.0
2002,renault,1.0
2003,ferrari,1.0
2003,mercedes,1.0
2003,renault,1.0
2004,ferrari,1.0
2004,mercedes,1.0
2004,renault,1.0
2005,ferrari,1.0
2005,mercedes,1.0
2005,renault,1.0
2006,ferrari,2.0
2006,mercedes,1.0
2006,renault,1.0
2007,ferrari,3.0
2007,mercedes,1.0
2007,renault,2.0
2008,ferrari,3.0
2008,mercedes,1.0
2008,renault,2.0
2009,ferrari,2.0
2009,mercedes,3.0
2009,renault,2.0
2010,ferrari,2.0
2010,mercedes,3.0
2010,renault,2.0
2011,ferrari,3.0
2011,mercedes,3.0
2011,renault,3.0
2012,ferrari,3.0
2012,mercedes,3.0
2012,renault,3.0
2013,ferrari,3.0
2013,mercedes,3.0
2013,renault,3.0
2014,ferrari,3.0
2014,mercedes,3.0
2014,renault,3.0
2015,ferrari,2.0
2015,mercedes,3.0
2015,renault,2.0
2016,ferrari,4.0
2016,mercedes,4.0
2016,renault,1.0
2017,ferrari,3.0
2017,mercedes,3.0
2017,renault,2.0
2018,ferrari,3.0
2018,mercedes,3.0
2018,renault,2.0
2019,ferrari,3.0
2019,mercedes,3.0
2019,renault,2.0
2020,ferrari,3.0
2020,mercedes,3.0
2020,renault,2.0
