year,constructorRef_mapped,avg_lap_speed,drivers
1996,racing_point,3.1084044427352673,"Barrichello, Brundle"
1997,mclaren,3.303959288748481,"Coulthard, Häkkinen"
1998,mclaren,3.185123164816,"Coulthard, Häkkinen"
1999,racing_point,3.204275049963047,"Frentzen, Hill"
2000,williams,3.1992287610295227,"Button, Schumacher"
2001,williams,3.3440364823926276,"Pablo Montoya, Schumacher"
2002,ferrari,3.3281482554703294,"Barrichello, Schumacher"
2003,ferrari,3.3262749089754453,"Barrichello, Schumacher"
2004,mercedes,3.4380391288879726,"Button, Sato"
2005,mercedes,3.4372005124033627,"Button, Sato"
2006,renault,3.334809286181929,"Alonso, Fisichella"
2007,mclaren,3.293048514804539,"Alonso, Hamilton"
2008,red_bull,3.219537073123103,"Coulthard, Webber"
2009,red_bull,3.268783536911847,"Vettel, Webber"
2010,mclaren,3.187350108849963,"Button, Hamilton"
2011,ferrari,3.141586450645891,"Alonso, Massa"
2012,renault,3.1551948524419475,"Räikkönen, Grosjean"
2013,ferrari,3.1795959768897175,"Alonso, Massa"
2014,racing_point,3.150959350575007,"Hülkenberg, Pérez"
2015,mercedes,3.1593323187662494,"Hamilton, Rosberg"
2016,mercedes,3.169693847140866,"Hamilton, Rosberg"
2017,ferrari,3.3361238343928523,"Räikkönen, Vettel"
2018,ferrari,3.317520004490417,"Räikkönen, Vettel"
2019,ferrari,3.351973283686326,"Leclerc, Vettel"
2020,mercedes,3.443768636398879,"Bottas, Hamilton"
