year,constructorRef_mapped,avg_lap_speed,drivers
1996,alfa,2.9616130867665627,"Frentzen, Herbert"
1997,alphatauri,3.038795825071712,"Katayama, Marques"
1998,mercedes,3.039218979839157,"Takagi, Rosset"
1999,alphatauri,3.0938971151307593,"Gené, Badoer"
2000,red_bull,3.126133598006944,"Herbert, Irvine"
2001,alphatauri,3.1511338293328697,"Alonso, Marques"
2002,alphatauri,3.14279302239688,"Webber, Yoong"
2003,alphatauri,3.1905311132630128,"Verstappen, Wilson"
2004,alphatauri,3.220163388133306,"Baumgartner, Bruni"
2005,alphatauri,3.235284838765995,"Albers, Friesacher"
2006,racing_point,3.179346693197158,"Albers, Monteiro"
2007,racing_point,3.1719915245209798,"Sutil, Albers"
2008,racing_point,3.133083036393462,"Fisichella, Sutil"
2009,alphatauri,3.168442609875517,"Buemi, Bourdais"
2010,renault,3.080417682651935,"Kovalainen, Kubica, Petrov, Trulli"
2011,williams,3.0461601706066133,"Barrichello, Maldonado"
2012,alphatauri,3.0983563825469664,"Ricciardo, Vergne"
2013,racing_point,3.1154252459554606,"Sutil, di Resta"
2014,renault,3.089798912810877,"Grosjean, Maldonado"
2015,renault,3.0483492844212163,"Grosjean, Maldonado"
2016,alfa,3.0775847803645013,"Ericsson, Nasr"
2017,alfa,3.2084175512864372,"Ericsson, Wehrlein"
2018,alphatauri,3.2103743053733003,"Gasly, Hartley"
2019,williams,3.2280983409649306,"Kubica, Russell"
2020,ferrari,3.3517850371749813,"Leclerc, Vettel"
